class,count
Normal,30465
Cataract,19737
Ulcerative_keratitis,7541
Blepharitis,7463
Conjunctivitis,7184
Entropion,4685
Non_ulcerative_keratitis,3556
Epiphora,3320
Nuclear_sclerosis,3049
Pigmentary_keratitis,2224
Eyelid_tumor,1942
